ID	Description	GeneRatio	BgRatio	pvalue	p.adjust	qvalue	geneID	Count
GO:0044419	GO:0044419	4/17	362/10899	0.00202053085546131	0.0499407339229865	0.0313222603395097	Nriv.00g012860/Nriv.00g046230/Nriv.00g055280/Nriv.00g076550	4
GO:0044297	GO:0044297	4/17	365/10899	0.00208258425910453	0.0499407339229865	0.0313222603395097	Nriv.00g046230/Nriv.00g076490/Nriv.00g135090/Nriv.00g142910	4
GO:0005346	GO:0005346	2/17	44/10899	0.00208447186772912	0.0499407339229865	0.0313222603395097	Nriv.00g094470/Nriv.00g094500	2
GO:0015216	GO:0015216	2/17	44/10899	0.00208447186772912	0.0499407339229865	0.0313222603395097	Nriv.00g094470/Nriv.00g094500	2
GO:0009161	GO:0009161	3/17	168/10899	0.00208675502893018	0.0499407339229865	0.0313222603395097	Nriv.00g012860/Nriv.00g094470/Nriv.00g094500	3
GO:0061448	GO:0061448	2/17	45/10899	0.00217942614363352	0.0499407339229865	0.0313222603395097	Nriv.00g094470/Nriv.00g094500	2
GO:0009123	GO:0009123	3/17	172/10899	0.00223169243544081	0.0499407339229865	0.0313222603395097	Nriv.00g012860/Nriv.00g094470/Nriv.00g094500	3
GO:0015215	GO:0015215	2/17	48/10899	0.00247640889866355	0.0499407339229865	0.0313222603395097	Nriv.00g094470/Nriv.00g094500	2
GO:1903532	GO:1903532	3/17	179/10899	0.00250018848816856	0.0499407339229865	0.0313222603395097	Nriv.00g046230/Nriv.00g076490/Nriv.00g142910	3
GO:0009117	GO:0009117	4/17	385/10899	0.00253073512055653	0.0499407339229865	0.0313222603395097	Nriv.00g012860/Nriv.00g094470/Nriv.00g094500/Nriv.00g169830	4
GO:0010951	GO:0010951	2/17	49/10899	0.00257942387119592	0.0499407339229865	0.0313222603395097	Nriv.00g076490/Nriv.00g142910	2
GO:0015605	GO:0015605	2/17	49/10899	0.00257942387119592	0.0499407339229865	0.0313222603395097	Nriv.00g094470/Nriv.00g094500	2
GO:0006753	GO:0006753	4/17	390/10899	0.002652458202633	0.0499407339229865	0.0313222603395097	Nriv.00g012860/Nriv.00g094470/Nriv.00g094500/Nriv.00g169830	4
GO:0090277	GO:0090277	2/17	51/10899	0.00279145035733863	0.0499407339229865	0.0313222603395097	Nriv.00g046230/Nriv.00g142910	2
GO:1903036	GO:1903036	2/17	51/10899	0.00279145035733863	0.0499407339229865	0.0313222603395097	Nriv.00g076550/Nriv.00g142910	2
